FREQ,BGC_Label,BGC_ZONE,BGC_SUBZON,BGC_VRT,BGC_PHASE,BEU_MC,REALM,GROUP,CLASS,KIND,Forested (Y/N),Strct_Climax,Stand_Climax,Stand_Age_0-15,Stand_Age_16-30,Stand_Age_31-50,Stand_Age_51-80,Stand_Age_80+,Struct_Age_0-3,Struct_Age_4-10,Struct_Age_11-30,Struct_Age_31-40,Struct_Age_41-60,Struct_Age_61-80,Struct_Age_81-139,Struct_Age_140-249,Struct_Age_250+,Snow_Code
557,,ICH,mc,2,,WL,W,W,,U,N,3a,,,,,,,2b,2b,3a,3a,3a,3a,3a,3a,3a,
61,,ICH,mc,2,,WR,T,F,h,M,Y,7a,M,,B,M,M,M,2,3a,3b,3c,4,5,6,7a,7a,
2,,ICH,vc,,,AD,T,,,M,N,3b,,,,,,,3b,3b,3b,3b,3b,3b,3b,3b,3b,
99,,ICH,vc,,,AV,T,V,s,M,N,3b,,,,,,,2b,3a,3a,3a,3b,3b,3b,3b,3b,
87,,ICH,vc,,,CL,T,R,c,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
6,,ICH,vc,,,CR,T,F,h,M,Y,6,B,,B,B,B,B,2,3a,3b,3c,4,5,6,6,6,
340,,ICH,vc,,,CS,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
421,,ICH,vc,,,GL,T,,,N,N,,,,,,,,,,,,,,,,,
946,,ICH,vc,,,GP,T,X,a,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
4,,ICH,vc,,,IS,T,T,,N,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
1,,ICH,vc,,,LL,O,,,N,N,,,,,,,,,,,,,,,,,
10,,ICH,vc,,,LP,T,T,,M,Y,7a,C,,,C,C,C,3,3a,3b,3c,4,5,6,7a,7a,
44,,ICH,vc,,,LS,O,,,N,N,,,,,,,,,,,,,,,,,
5,,ICH,vc,,,ME,T,G,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
132,,ICH,vc,,,OW,O,,,N,N,,,,,,,,,,,,,,,,,
5,,ICH,vc,,,RI,O,,,N,N,,,,,,,,,,,,,,,,,
59,,ICH,vc,,,RO,T,R,o,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
960,,ICH,vc,,,RR,T,T,,M,Y,7a,M,,B,M,M,M,2,3a,3b,3c,4,5,6,7a,7a,
,,ICH,vc,,,SC,T,S,c,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
,,ICH,vc,,,SF,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
83,,ICH,vc,,,SK,W,M,s,M,Y,7,C,,,C,C,C,2,3a,3b,3c,4,5,6,7,7,
2,,ICH,vc,,,SM,T,A,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
3,,ICH,vc,,,SW,W,M,s,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
65,,ICH,vc,,,UR,T,X,a,U,N,,,,,,,,,,,,,,,,,
136,,ICH,vc,,,UV,T,,,U,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
12,,ICH,vc,,,WG,T,P,b,O,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
57,,ICH,vc,,,WL,W,W,,U,N,3a,,,,,,,2b,2b,3a,3a,3a,3a,3a,3a,3a,
1,,ICH,vc,,,WR,T,F,h,M,Y,7a,M,,B,M,M,M,2,3a,3b,3c,4,5,6,7a,7a,
648,,MH,mm,1,,AV,T,V,s,M,N,3b,,,,,,,2b,3a,3a,3a,3b,3b,3b,3b,3b,
823,,MH,mm,1,,CL,T,R,c,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
88,,MH,mm,1,,HP,T,T,,M,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
4395,,MH,mm,1,,LL,O,,,N,N,,,,,,,,,,,,,,,,,
30658,,MH,mm,1,,LS,O,,,N,N,,,,,,,,,,,,,,,,,
1027,,MH,mm,1,,ME,T,G,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
40173,,MH,mm,1,,MF,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
2851,,MH,mm,1,,OW,O,,,N,N,,,,,,,,,,,,,,,,,
93,,MH,mm,1,,RI,O,,,N,N,,,,,,,,,,,,,,,,,
,,MH,mm,1,,RO,T,R,o,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
,,MH,mm,1,,SC,T,S,c,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
,,MH,mm,1,,SM,T,A,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
,,MH,mm,1,,SR,T,T,,M,Y,7a,M,,M,M,M,M,2,3a,3b,3c,4,5,6,7a,7a,
,,MH,mm,1,,SW,W,M,s,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
59,,MH,mm,1,,TA,T,R,t,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
12,,MH,mm,1,,UV,T,,,U,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
1,,MH,mm,1,,WL,W,W,,U,N,3,,,,,,,2b,3,3,3,3,3,3,3,3,
856,,MH,mm,1,,YB,W,P,b,O,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
1323,,MH,mm,1,,YM,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
502,,MH,mm,1,,YS,W,W,s,O,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
161,,MH,mm,2,,AV,T,V,s,M,N,3b,,,,,,,2b,3a,3a,3a,3b,3b,3b,3b,3b,
1184,,MH,mm,2,,CL,T,R,c,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
734,,MH,mm,2,,GL,T,,,N,N,,,,,,,,,,,,,,,,,
7009,,MH,mm,2,,GP,T,X,a,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
465,,MH,mm,2,,HP,T,T,,M,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
527,,MH,mm,2,,LL,O,,,N,N,,,,,,,,,,,,,,,,,
16,,MH,mm,2,,LS,O,,,N,N,,,,,,,,,,,,,,,,,
254,,MH,mm,2,,ME,T,G,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
176,,MH,mm,2,,MF,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
21,,MH,mm,2,,OW,O,,,N,N,,,,,,,,,,,,,,,,,
143,,MH,mm,2,,RI,O,,,N,N,,,,,,,,,,,,,,,,,
11,,MH,mm,2,,RO,T,R,o,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
2381,,MH,mm,2,,SC,T,S,c,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
115,,MH,mm,2,,SM,T,A,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
2,,MH,mm,2,,SR,T,T,,M,Y,7a,M,,M,M,M,M,2,3a,3b,3c,4,5,6,7a,7a,
86,,MH,mm,2,,SW,W,M,s,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
1906,,MH,mm,2,,TA,T,R,t,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
1240,,MH,mm,2,,UR,T,X,a,U,N,,,,,,,,,,,,,,,,,
1858,,MH,mm,2,,UV,T,,,U,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
97,,MH,mm,2,,WB,T,,,M,Y,7,C,,,C,C,C,2b,3a,3a,3b,4,5,6,7,7,
994,,MH,mm,2,,WL,W,W,,U,N,3,,,,,,,2b,3,3,3,3,3,3,3,3,
93,,MH,mm,2,,YM,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
9,,MH,mmp,,,AH,T,A,h,M,N,2d,,,,,,,2d,2d,2d,2d,2d,2d,2d,2d,2d,
81,,MH,mmp,,,AT,T,A,t,M,N,2d,,,,,,,2d,2d,2d,2d,2d,2d,2d,2d,2d,
3536,,MH,mmp,,,AV,T,V,s,M,N,3b,,,,,,,2b,3a,3a,3a,3b,3b,3b,3b,3b,
4660,,MH,mmp,,,CL,T,R,c,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
227,,MH,mmp,,,GL,T,,,N,N,,,,,,,,,,,,,,,,,
8784,,MH,mmp,,,GP,T,X,a,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
700,,MH,mmp,,,HP,T,T,,M,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
27,,MH,mmp,,,LL,O,,,N,N,,,,,,,,,,,,,,,,,
80,,MH,mmp,,,LS,O,,,N,N,,,,,,,,,,,,,,,,,
902,,MH,mmp,,,MF,T,T,,M,Y,7a,C,,,C,C,C,3,3a,3b,3c,4,5,6,7a,7a,
114,,MH,mmp,,,OW,O,,,N,N,,,,,,,,,,,,,,,,,
,,MH,mmp,,,RI,O,,,N,N,,,,,,,,,,,,,,,,,
,,MH,mmp,,,RO,T,R,o,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
,,MH,mmp,,,SC,T,S,c,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
46,,MH,mmp,,,SM,T,A,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
229,,MH,mmp,,,SW,W,M,s,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
87,,MH,mmp,,,TA,T,R,t,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
3,,MH,mmp,,,UV,T,,,U,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
496,,MH,mmp,,,WB,T,,,M,Y,7,C,,,C,C,C,2b,3a,3a,3b,4,5,6,7,7,
22,,MH,mmp,,,WL,W,W,,U,N,3,,,,,,,2b,3,3,3,3,3,3,3,3,
87,,MH,mmp,,,YM,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
276,,MH,wh,1,,AV,T,V,s,M,N,3b,,,,,,,2b,3a,3a,3a,3b,3b,3b,3b,3b,
32,,MH,wh,1,,CB,W,P,b,O,Y,7,C,,,C,C,C,2,3a,3a,3b,4,5,6,7,7,
52,,MH,wh,1,,CH,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
96,,MH,wh,1,,CL,T,R,c,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
402,,MH,wh,1,,FR,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
21,,MH,wh,1,,HP,T,T,,M,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
187,,MH,wh,1,,HS,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
2448,,MH,wh,1,,LL,O,,,N,N,,,,,,,,,,,,,,,,,
52,,MH,wh,1,,LS,O,,,N,N,,,,,,,,,,,,,,,,,
2377,,MH,wh,1,,MF,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
10,,MH,wh,1,,OW,O,,,N,N,,,,,,,,,,,,,,,,,
13,,MH,wh,1,,RO,T,R,o,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
12,,MH,wh,1,,SC,T,S,c,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
,,MH,wh,1,,SM,T,A,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
11886,,MH,wh,1,,SW,W,M,s,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
109,,MH,wh,1,,UR,T,X,a,U,N,,,,,,,,,,,,,,,,,
28,,MH,wh,1,,UV,T,,,U,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
12,,MH,wh,1,,WL,W,W,,U,N,3,,,,,,,2b,3,3,3,3,3,3,3,3,
1,,MH,wh,1,,YB,W,P,b,O,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
278,,MH,wh,1,,YM,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
5,,MH,wh,1,,YS,W,W,s,O,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
2235,,MH,whp,,,AV,T,V,s,M,N,3b,,,,,,,2b,3a,3a,3a,3b,3b,3b,3b,3b,
3,,MH,whp,,,CL,T,R,c,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
101,,MH,whp,,,HP,T,T,,M,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
473,,MH,whp,,,LS,O,,,N,N,,,,,,,,,,,,,,,,,
17,,MH,whp,,,MF,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
1541,,MH,whp,,,OW,O,,,N,N,,,,,,,,,,,,,,,,,
136,,MH,whp,,,RO,T,R,o,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
,,MH,whp,,,SC,T,S,c,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
163,,MH,whp,,,SM,T,A,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
5,,MH,whp,,,SW,W,M,s,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
15,,MH,whp,,,YM,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
106,,MS,xv,,,DF,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
6,,MS,xv,,,LP,T,T,,M,Y,7a,C,,,C,C,C,3,3a,3b,3c,4,5,6,7a,7a,
,,MS,xv,,,LS,O,,,N,N,,,,,,,,,,,,,,,,,
,,MS,xv,,,OW,O,,,N,N,,,,,,,,,,,,,,,,,
,,MS,xv,,,SC,T,S,c,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
,,MS,xv,,,SL,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
,,MS,xv,,,SW,W,M,s,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
,,MS,xv,,,UV,T,,,U,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
,,MS,xv,,,WG,T,P,b,O,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
,,MS,xv,,,WL,W,W,,U,N,3,,,,,,,2b,3,3,3,3,3,3,3,3,
,,SBPS,dc,,,SL,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
,,SBPS,dc,,,WG,T,P,b,O,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
,,SBPS,mc,,,AC,T,,,M,Y,6,M,B,B,B,M,M,2b,3a,3a,3b,4,5,6,6,6,
,,SBPS,mc,,,BB,W,P,b,O,N,3b,,,,,,,2,2,3a,3a,3b,3b,3b,3b,3b,
,,SBPS,mc,,,DF,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
,,SBPS,mc,,,LL,O,,,N,N,,,,,,,,,,,,,,,,,
,,SBPS,mc,,,LP,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
,,SBPS,mc,,,LS,O,,,N,N,,,,,,,,,,,,,,,,,
,,SBPS,mc,,,MS,T,G,b,M,N,3b,,,,,,,2b,2b,3a,3b,3b,3b,3b,3b,3b,
,,SBPS,mc,,,OW,O,,,N,N,,,,,,,,,,,,,,,,,
,,SBPS,mc,,,RI,O,,,N,N,,,,,,,,,,,,,,,,,
,,SBPS,mc,,,SA,T,T,,M,Y,7a,M,,B,B,M,M,2,3a,3b,3c,4,5,6,7a,7a,
,,SBPS,mc,,,SC,T,S,c,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
,,SBPS,mc,,,SF,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
,,SBPS,mc,,,SK,W,M,s,M,Y,7,C,,,C,C,C,2,3a,3b,3c,4,5,6,7,7,
,,SBPS,mc,,,SL,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
,,SBPS,mc,,,SW,W,M,s,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
,,SBPS,mc,,,TA,T,R,t,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
,,SBPS,mc,,,UR,T,X,a,U,N,,,,,,,,,,,,,,,,,
,,SBPS,mc,,,UV,T,,,U,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
,,SBPS,mc,,,WG,T,P,b,O,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
,,SBPS,mc,,,WL,W,W,,U,N,3a,,,,,,,2b,2b,3a,3a,3a,3a,3a,3a,3a,
,,SBPS,mc,,,WR,T,F,h,M,Y,7a,M,,B,M,M,M,2,3a,3b,3c,4,5,6,7a,7a,
,,SBPS,mk,,,AC,T,,,M,Y,6,M,B,B,B,M,M,2b,3a,3a,3b,4,5,6,6,6,
,,SBPS,mk,,,BB,W,P,b,O,N,3b,,,,,,,2,2,3a,3a,3b,3b,3b,3b,3b,
,,SBPS,mk,,,BR,T,,,U,N,3b,,,,,,,2,2,3a,3a,3b,3b,3b,3b,3b,
,,SBPS,mk,,,CF,T,X,,U,N,2b,,,,,,,2b,2b,2b,2b,2b,2b,2b,2b,2b,
,,SBPS,mk,,,LL,O,,,N,N,,,,,,,,,,,,,,,,,
,,SBPS,mk,,,LP,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
,,SBPS,mk,,,LS,O,,,N,N,,,,,,,,,,,,,,,,,
,,SBPS,mk,,,OW,O,,,N,N,,,,,,,,,,,,,,,,,
,,SBPS,mk,,,SL,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
,,SBPS,mk,,,UR,T,X,a,U,N,,,,,,,,,,,,,,,,,
,,SBPS,mk,,,UV,T,,,U,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
,,SBPS,mk,,,WG,T,P,b,O,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
,,SBPS,mk,,,WL,W,W,,U,N,3a,,,,,,,2b,2b,3a,3a,3a,3a,3a,3a,3a,
,,SBS,dk,,,BB,W,P,b,O,N,3b,,,,,,,2,2,3a,3a,3b,3b,3b,3b,3b,
,,SBS,dk,,,BR,T,,,U,N,3b,,,,,,,2,2,3a,3a,3b,3b,3b,3b,3b,
,,SBS,dk,,,CF,T,X,,U,N,2b,,,,,,,2b,2b,2b,2b,2b,2b,2b,2b,2b,
,,SBS,dk,,,CL,T,R,c,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
,,SBS,dk,,,DF,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
,,SBS,dk,,,DL,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
,,SBS,dk,,,GP,T,X,a,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
,,SBS,dk,,,LL,O,,,N,N,,,,,,,,,,,,,,,,,
,,SBS,dk,,,LP,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
,,SBS,dk,,,LS,O,,,N,N,,,,,,,,,,,,,,,,,
,,SBS,dk,,,MI,T,X,a,U,N,,,,,,,,,,,,,,,,,
,,SBS,dk,,,OW,O,,,N,N,,,,,,,,,,,,,,,,,
,,SBS,dk,,,RE,O,,,N,N,,,,,,,,,,,,,,,,,
,,SBS,dk,,,RI,O,,,N,N,,,,,,,,,,,,,,,,,
,,SBS,dk,,,RO,T,R,o,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
,,SBS,dk,,,SA,T,T,,M,Y,7a,M,,B,B,M,M,2,3a,3b,3c,4,5,6,7a,7a,
,,SBS,dk,,,SB,T,T,,M,Y,7a,M,,B,B,M,M,2,3a,3b,3c,4,5,6,7a,7a,
,,SBS,dk,,,SC,T,S,c,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
,,SBS,dk,,,SD,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
,,SBS,dk,,,SF,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
,,SBS,dk,,,SK,W,M,s,M,Y,7,C,,,C,C,C,2,3a,3b,3c,4,5,6,7,7,
,,SBS,dk,,,SL,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
,,SBS,dk,,,SW,W,M,s,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
,,SBS,dk,,,TA,T,R,t,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
,,SBS,dk,,,TC,T,X,a,U,N,,,,,,,,,,,,,,,,,
,,SBS,dk,,,UR,T,X,a,U,N,,,,,,,,,,,,,,,,,
,,SBS,dk,,,UV,T,,,U,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
,,SBS,dk,,,WG,T,P,b,O,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
,,SBS,dk,,,WL,W,W,,U,N,3a,,,,,,,2b,2b,3a,3a,3a,3a,3a,3a,3a,
,,SBS,dk,,,WR,T,F,h,M,Y,7a,M,,B,M,M,M,2,3a,3b,3c,4,5,6,7a,7a,
,,SBS,dw,2,,BB,W,P,b,O,N,3b,,,,,,,2,2,3a,3a,3b,3b,3b,3b,3b,
,,SBS,dw,2,,BR,T,,,U,N,3b,,,,,,,2,2,3a,3a,3b,3b,3b,3b,3b,
,,SBS,dw,2,,CF,T,X,,U,N,2b,,,,,,,2b,2b,2b,2b,2b,2b,2b,2b,2b,
,,SBS,dw,2,,LL,O,,,N,N,,,,,,,,,,,,,,,,,
,,SBS,dw,2,,LS,O,,,N,N,,,,,,,,,,,,,,,,,
,,SBS,dw,2,,OW,O,,,N,N,,,,,,,,,,,,,,,,,
,,SBS,dw,2,,SA,T,T,,M,Y,7a,M,,B,B,M,M,2,3a,3b,3c,4,5,6,7a,7a,
,,SBS,dw,2,,SF,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
,,SBS,dw,2,,SL,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
,,SBS,dw,2,,TC,T,X,a,U,N,,,,,,,,,,,,,,,,,
,,SBS,dw,2,,WG,T,P,b,O,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
,,SBS,dw,2,,WL,W,W,,U,N,3a,,,,,,,2b,2b,3a,3a,3a,3a,3a,3a,3a,
,,SBS,dw,2,,WR,T,F,h,M,Y,7a,M,,B,M,M,M,2,3a,3b,3c,4,5,6,7a,7a,
,,SBS,dw,3,,BB,W,P,b,O,N,3b,,,,,,,2,2,3a,3a,3b,3b,3b,3b,3b,
,,SBS,dw,3,,BR,T,,,U,N,3b,,,,,,,2,2,3a,3a,3b,3b,3b,3b,3b,
,,SBS,dw,3,,CF,T,X,a,U,N,2b,,,,,,,2b,2b,2b,2b,2b,2b,2b,2b,2b,
,,SBS,dw,3,,DF,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
,,SBS,dw,3,,DL,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
,,SBS,dw,3,,LL,O,,,N,N,,,,,,,,,,,,,,,,,
,,SBS,dw,3,,LP,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
,,SBS,dw,3,,LS,O,,,N,N,,,,,,,,,,,,,,,,,
,,SBS,dw,3,,MI,T,X,,U,N,,,,,,,,,,,,,,,,,
,,SBS,dw,3,,OW,O,,,N,N,,,,,,,,,,,,,,,,,
,,SBS,dw,3,,RI,O,,,N,N,,,,,,,,,,,,,,,,,
,,SBS,dw,3,,SA,T,T,,M,Y,7a,M,,B,B,M,M,2,3a,3b,3c,4,5,6,7a,7a,
,,SBS,dw,3,,SC,T,S,c,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
,,SBS,dw,3,,SD,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
,,SBS,dw,3,,SF,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
,,SBS,dw,3,,SK,W,M,s,M,Y,7,C,,,C,C,C,2,3a,3b,3c,4,5,6,7,7,
,,SBS,dw,3,,SL,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
,,SBS,dw,3,,SW,W,M,s,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
,,SBS,dw,3,,TC,T,X,a,U,N,,,,,,,,,,,,,,,,,
,,SBS,dw,3,,UR,T,X,a,U,N,,,,,,,,,,,,,,,,,
,,SBS,dw,3,,UV,T,,,U,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
,,SBS,dw,3,,WG,T,P,b,O,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
,,SBS,dw,3,,WL,W,W,,U,N,3a,,,,,,,2b,2b,3a,3a,3a,3a,3a,3a,3a,
,,SBS,dw,3,,WR,T,F,h,M,Y,7a,M,,B,M,M,M,2,3a,3b,3c,4,5,6,7a,7a,
,,SBS,mc,2,,AV,T,V,s,M,N,3b,,,,,,,2b,3a,3a,3a,3b,3b,3b,3b,3b,
,,SBS,mc,2,,BB,W,P,b,O,N,3b,,,,,,,2,2,3a,3a,3b,3b,3b,3b,3b,
,,SBS,mc,2,,BL,T,,,M,Y,7a,C,,,C,C,C,2,3a,3a,3b,4,5,6,7a,7a,
,,SBS,mc,2,,BR,T,,,U,N,3b,,,,,,,2,2,3a,3a,3b,3b,3b,3b,3b,
,,SBS,mc,2,,CF,T,X,a,U,N,2b,,,,,,,2b,2b,2b,2b,2b,2b,2b,2b,2b,
,,SBS,mc,2,,CL,T,R,c,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
,,SBS,mc,2,,DF,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
,,SBS,mc,2,,DL,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
,,SBS,mc,2,,GP,T,X,a,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
,,SBS,mc,2,,LL,O,,,N,N,,,,,,,,,,,,,,,,,
,,SBS,mc,2,,LP,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
,,SBS,mc,2,,LS,O,,,N,N,,,,,,,,,,,,,,,,,
,,SBS,mc,2,,ME,T,G,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
,,SBS,mc,2,,MI,T,X,,U,N,,,,,,,,,,,,,,,,,
,,SBS,mc,2,,MS,T,G,b,M,N,3b,,,,,,,2b,2b,3a,3b,3b,3b,3b,3b,3b,
,,SBS,mc,2,,OW,O,,,N,N,,,,,,,,,,,,,,,,,
